id	Song	Album	Year	File
395	Hey Jude	Past Masters. Volume One	1988	heyjude.txt
396	Not Guilty	Past Masters. Volume One	1988	notguilty.txt
397	Mother Nature's Son	Past Masters. Volume One	1988	mothernaturesson.txt
398	Rocky Raccoon	Past Masters. Volume One	1988	rockyraccoon.txt
399	What's The New Mary Jane	Past Masters. Volume One	1988	whatsthenewmaryjane.txt
400	Step Inside Love / Los Paranoias	Past Masters. Volume One	1988	stepinsidelovelosparanoias.txt
401	I'm So Tired	Past Masters. Volume One	1988	imsotired.txt
402	I Will	Past Masters. Volume One	1988	iwill.txt
403	Why Don't We Do It In The Road?	Past Masters. Volume One	1988	whydontwedoitintheroad.txt
404	Julia	Past Masters. Volume One	1988	julia.txt
405	I've Got A Feeling	Past Masters. Volume One	1988	ivegotafeeling.txt
406	She Came In Through The Bathroom Window	Past Masters. Volume One	1988	shecameinthroughthebathroomwindow.txt
407	Dig A Pony	Past Masters. Volume One	1988	digapony.txt
408	Two Of Us	Past Masters. Volume One	1988	twoofus.txt
409	For You Blue	Past Masters. Volume One	1988	foryoublue.txt
410	Teddy Boy	Past Masters. Volume One	1988	teddyboy.txt
411	Medley: Rip It Up / Shake, Rattle And Roll / Blue Suede Shoes	Past Masters. Volume One	1988	medleyripitupshakerattleandrollbluesuedeshoes.txt
412	The Long And Winding Road	Past Masters. Volume One	1988	thelongandwindingroad.txt
413	Oh! Darling	Past Masters. Volume One	1988	ohdarling.txt
414	All Things Must Pass	Past Masters. Volume One	1988	allthingsmustpass.txt
415	Mailman, Bring Me No More Blues	Past Masters. Volume One	1988	mailmanbringmenomoreblues.txt
416	Get Back	Past Masters. Volume One	1988	get-back-anthology-3.txt
417	Old Brown Shoe	Past Masters. Volume One	1988	oldbrownshoe.txt
418	Octopus's Garden	Past Masters. Volume One	1988	octopussgarden.txt
419	Maxwell's Silver Hammer	Past Masters. Volume One	1988	maxwellssilverhammer.txt
420	Something	Past Masters. Volume One	1988	something.txt
421	Come Together	Past Masters. Volume One	1988	come-together.txt
422	Come And Get It	Past Masters. Volume One	1988	comeandgetit.txt
423	Ain't She Sweet	Past Masters. Volume One	1988	aintshesweet.txt
424	Because	Past Masters. Volume One	1988	because.txt
425	Let It Be	Past Masters. Volume One	1988	let-it-be-anthology.txt
426	I Me Mine	Past Masters. Volume One	1988	imemine.txt
427	The End	Past Masters. Volume One	1988	theend.txt
